Area,Bedrooms,Bathrooms,Floors,Parking,Age,Location,Price
1286,2,2.0,1,0.0,15.0,Chennai,7249000.0
2009,2,2.0,1,0.0,5.0,Chennai,11700000.0
400,6,6.0,3,1.0,5.0,Pune,4076000.0
400,3,2.0,3,2.0,3.0,Hyderabad,2968000.0
1300,3,2.0,1,0.0,13.0,Chennai,6441000.0
1709,3,3.0,1,3.0,2.0,Mumbai,28157000.0
1182,2,2.0,2,1.0,0.0,Bangalore,8722000.0
3163,3,2.0,1,0.0,0.0,Bangalore,22074000.0
1848,4,3.0,3,3.0,6.0,Hyderabad,10731000.0
1789,3,,2,0.0,18.0,Pune,11688000.0
2140,3,3.0,3,1.0,9.0,Pune,16072000.0
2285,2,1.0,3,1.0,6.0,Hyderabad,12095000.0
1800,2,1.0,3,0.0,8.0,Pune,13641000.0
938,4,4.0,3,0.0,8.0,Mumbai,14385000.0
2119,6,6.0,3,1.0,2.0,Mumbai,37687000.0
1927,3,2.0,3,1.0,0.0,Chennai,11020000.0
1057,3,3.0,2,1.0,4.0,Hyderabad,6407000.0
1478,2,2.0,2,1.0,17.0,Pune,10435000.0
1273,6,5.0,2,1.0,14.0,Bangalore,9235000.0
1040,3,2.0,2,1.0,15.0,Pune,7449000.0
2584,2,1.0,3,2.0,9.0,Hyderabad,14850000.0
1090,2,2.0,2,1.0,10.0,Mumbai,19186000.0
2767,4,3.0,3,1.0,8.0,Pune,20382000.0
785,5,4.0,3,0.0,4.0,Chennai,5313000.0
1650,1,1.0,1,0.0,14.0,Hyderabad,8697000.0
2488,4,3.0,2,0.0,2.0,Hyderabad,13746000.0
677,4,3.0,1,2.0,4.0,Mumbai,12075000.0
1076,6,5.0,2,0.0,1.0,Hyderabad,6041000.0
1767,4,3.0,1,2.0,0.0,Hyderabad,9383000.0
888,1,1.0,3,1.0,0.0,Hyderabad,5456000.0
1540,3,2.0,3,1.0,,Chennai,10274000.0
510,2,1.0,1,2.0,3.0,Pune,3712000.0
1712,1,1.0,2,1.0,7.0,Mumbai,27492000.0
2466,5,5.0,2,2.0,3.0,Hyderabad,14068000.0
1135,6,6.0,2,2.0,6.0,Pune,8614000.0
1095,4,3.0,1,1.0,2.0,Bangalore,7500000.0
647,6,5.0,3,0.0,4.0,Delhi,8529000.0
1217,2,2.0,3,1.0,7.0,Chennai,7798000.0
1069,4,3.0,3,2.0,7.0,Delhi,12032000.0
2204,6,5.0,3,0.0,3.0,Delhi,23478000.0
400,2,2.0,3,2.0,11.0,Mumbai,6136000.0
1764,5,5.0,1,1.0,9.0,Pune,11465000.0
1687,4,3.0,1,0.0,9.0,Chennai,8888000.0
2070,4,4.0,2,0.0,1.0,Hyderabad,10199000.0
1575,2,1.0,3,0.0,8.0,Bangalore,9274000.0
1565,2,1.0,2,4.0,12.0,Mumbai,25761000.0
1379,6,5.0,3,1.0,1.0,Hyderabad,7955000.0
2039,4,3.0,3,2.0,6.0,Pune,14102000.0
872,5,4.0,1,0.0,10.0,Mumbai,14018000.0
1066,3,2.0,1,1.0,33.0,Pune,8420000.0
1184,5,,2,1.0,3.0,Delhi,13843000.0
1790,2,2.0,3,2.0,1.0,Delhi,18853000.0
1485,2,2.0,2,3.0,19.0,Hyderabad,7674000.0
1254,6,5.0,1,2.0,0.0,Delhi,14829000.0
1760,1,1.0,3,1.0,2.0,Delhi,16642000.0
1677,5,4.0,1,3.0,1.0,Hyderabad,8567000.0
999,3,2.0,1,0.0,9.0,Pune,7397000.0
